chr	start	end	cent_start	cent_end
chr1	1	248956422	122026459	124932724
chr2	1	242193529	92188145	94090557
chr3	1	198295559	90772458	93655574
chr4	1	190214555	49712061	51743951
chr5	1	181538259	46485900	50059807
chr6	1	170805979	58553888	59829934
chr7	1	159345973	58169653	61528020
chr8	1	145138636	44033744	45877265
chr9	1	138394717	43389635	45518558
chr10	1	133797422	39686682	41593521
chr11	1	135086622	51078348	54425074
chr12	1	133275309	34769407	37185252
chr13	1	114364328	16000000	18051248
chr14	1	107043718	16000000	18173523
chr15	1	101991189	17083673	19725254
chr16	1	90338345	36311158	38265669
chr17	1	83257441	22813679	26616164
chr18	1	80373285	15460899	20861206
chr19	1	58617616	24498980	27190874
chr20	1	64444167	26436232	30038348
chr21	1	46709983	10864560	12915808
chr22	1	50818468	12954788	15054318
chrX	1	156040895	58605579	62412542
chrY	1	57227415	10316944	10544039
