chr	start	end	cent_start	cent_end
chr1	1	59578282	0	0
chr2	1	59640629	0	0
chr3	1	62628488	0	0
chr4	1	78093715	0	0
chr5	1	72500376	0	0
chr6	1	60270059	0	0
chr7	1	74282399	0	0
chr8	1	54304670	0	0
chr9	1	56459845	0	0
chr10	1	45420867	0	0
chr11	1	45484837	0	0
chr12	1	49182954	0	0
chr13	1	52186027	0	0
chr14	1	52660232	0	0
chr15	1	48040578	0	0
chr16	1	55266483	0	0
chr17	1	53461100	0	0
chr18	1	51023477	0	0
chr19	1	48449771	0	0
chr20	1	55201331	0	0
chr21	1	45934066	0	0
chr22	1	39133080	0	0
chr23	1	46223584	0	0
chr24	1	42172926	0	0
chr25	1	37502051	0	0
